COD. ENCUESTA;COD. ENCUESTA;COD. ENCUESTA;ENCUESTA;PERIODO;PAIS;PUNTO CÓDIGO;PUNTO NOMBRE;SECCIÓN CÓDIGO;SECCIÓN NOMBRE;FECHA ENCUESTA;24310;motivo-ins;24308;;24307;;24312;;25002;;24311;Indíquenos el porqué de su calificación (motivo-nps);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;18578;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4636;LA LIBERTAD;3253;CAJA UNIVERSAL;13-Oct-2022;10;Porque la atención es muy buena siempre nos atienden con amabilidad.;10;;10;;SI;;MUY FÁCIL;;10;Por la facilidad de realizar los tramites sin tanto tramite, sin tanto papeleo, sin tanta cola , sin tanta espera. la atención es rápida y muy ágil a demás los chicos son bien amables para atender al cliente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;30419;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4815;SAN EDUARDO;3253;CAJA UNIVERSAL;19-Oct-2022;10;Porque no he tenido ningún inconveniente es rápida la atención;10;;10;;SI;;MUY FÁCIL;;10;Porque como le digo por su atención con lo que es muy importante el saludo de cuando uno llega y hasta el momento no he tenido ningún inconveniente, y por la ágildad la rapidez con la que atienden .;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;19554;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;5261;MULTIPLAZA LOS CHILLOS;3253;CAJA UNIVERSAL;13-Oct-2022;10;Porque son super rápida al momento que yo hago retiros o depósitos es super rápido no me demoro absolutamente nadad, igual super atentas, super eficaz en lo que hacen.;10;;10;;SI;;FÁCIL;;10;"Porque son super rápidos en eso la atención es mucho más rápida, lo que si es pocos cajeros los que hay varias cajas que existen, pero eso es algo que creo que es un poco tedioso, porque hacen filas largas, pero solo hay dos cajeros abarcan unas treinta personas como máximo yo creo que eso si doy de recomendación de mejorar eso.
Porque solo hay dos cajeros de dos cajas abiertas de las diez que existen  dos de las ocho que existen eso si sería un poquito recomendable que mejoren que las cajas estén abiertas, porque yo me ido aquí solo hay dos cajeros, en Sangolquí solo hay dos cajeros habiendo como seis solo hay dos lo que si son un poco rápidos no tengo ninguna queja de ellos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20507;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4582;QUEVEDO;3253;CAJA UNIVERSAL;14-Oct-2022;9;Cuando no hay gente es buena la atención.;9;;9;;SI;;FÁCIL;;10;"Es mas rápido.
Solo que cuando hay mucha gente se demorar.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;38788;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4594;CHILLOGALLO;3253;CAJA UNIVERSAL;21-Oct-2022;10;Porque es la segunda vez que fui a la agencia de Chillogallo, porque yo por lo general retiro acá en el centro y me atendieron de buena manera ágil sin tanto tiempo  de espera.;10;;10;;SI;;FÁCIL;;10;Porque hay agencias que hay en todo lados y atienden hasta bien tarde , porque a veces uno sale del trabajo  y ya los cajeros del Pichincha o los cajeros del Produbanco ya saben estar cerrados y en servipagos hay en todos lados.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;16973;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4628;GRAN AKI DURÁN;3253;CAJA UNIVERSAL;12-Oct-2022;2;Porque han cambiado a todos los antiguos y ahora han puesto unos lentos y usted sabe como esta el país ahorita uno no puede estar metido en un banco o en un servipagios uno lo que quiere es llegar a la ventanilla coger cambiar porque uno esta expuesto  a que ahí mismo le asalten están demasiado lentos estaban  bien , pero ahora han puesto un montón de nuevos, esta bien que pongan dos antiguos y dos nuevos, pero todos las cuatro ventanillas estaba con gente nueva son nuevos ;9;;5;;SI;;FÁCIL;;9;"Porque tienen todavía se están desenvolviendo te revisan las cosas tres o cuatro veces no es la experiencia que tiene los antiguos los se toman su tiempo porque son nuevos uno pierde bastante tiempo se demoran bastante con una persona en ventanilla  y los que están en la cola tiene que decir muevan la mano.
Porque lunes a viernes no hay problema yo solo los fines  de semana que cobro los sábados.
Porque al principio era color de rosas cuando estaban los antiguos usted llegaba cambaba  y salía , pero ahora con la gente que esta no es solo yo  no se si las demás personas tengan la misma inconformidad que yo , pero si  a los chicos nuevos les falta experiencia y un tiempo valioso un fin de semana uno pierde ahí. 
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;17370;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4589;CALDERON;3253;CAJA UNIVERSAL;12-Oct-2022;10;Porque siempre me han atendido muy bien la verdad, no he tenido ningún problema.;10;;10;;SI;;MUY FÁCIL;;10;Si lo recomiendo porque el personal de la agencia son muy amables y a veces me ayudan en lo que no entiendo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;17015;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4576;AMBATO;3253;CAJA UNIVERSAL;12-Oct-2022;10;Porque solo tengo que circunvalar el redondel, entro a la oficina y me ayudan con mucha facilidad todos los trámites.;10;;10;;SI;;FÁCIL;;10;"Siempre recomiendo a mis compañeros, les he dicho...si algo tienen que hacer vayan a Servipagos, hacen las transacciones, no solamente se hace trámites bancarios, también se hace pagos de servicios.
Como sugerencia es que si pueden hacer conexión con otros bancos, en Servipagos no hay un anexo de cobranza de Banco Bolivariano y de Guayaquil en los cuales también tengo que hacer gestiones, pero me dicen que no tienen convenio con esas instituciones.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;34041;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4601;GUAMANI;3253;CAJA UNIVERSAL;20-Oct-2022;8;"Ese día no había gente y la atención es rápida, y cuando hay gente hay ocasiones que está sólo un cajero atendiendo y ese es el problema.
En horas pico yo salgo en hora de almuerzo, yo no sé  si los chicos tiene que cerrar caja o se ponen a contar el dinero que tiene que entregarle al supervisor y se forman las colas, no sabría decirle porque es depende el día. En días pico fin de mes o quincena o pagar luz, primero o treinta tener todas las cajas trabajando. ";8;;6;;SI;;FÁCIL;;8;"Tal vez sería dejarle en este tipo de días que son picos dejar indicando cuál es la fila preferencial porque no hay nadie atendiendo en esta ventanilla y la gente de la tercera edad pide en las otras ventanillas que se les de la preferencia.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;19449;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4608;MOLINEROS;3253;CAJA UNIVERSAL;13-Oct-2022;10;Por la atención me presta es en cualquier servipagos no solamente e molineros es en cualquier servipagos me atienden  muy bien. ;10;;9;;SI;;FÁCIL;;10;Porque yo siempre siempre recomiendo servipagos porque se puede se pude pagar tantas cosas y en especial luz, agua, teléfono impuestos todas esas cosas, bueno antes también pagaba de la cooperativa veinte y tres de julio pero ahora ya no están atendiendo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;17282;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;5164;QUITUMBE;3253;CAJA UNIVERSAL;12-Oct-2022;9;Realmente poner un poco más de cajeros porque hay  horas pico donde si hay bastante gente y si hay una de las cajeras que nos ayudan y más que todo hay personas que llegan con muchas monedas y ahí si se va demasiado tiempo y más o menos será unos treinta o cuarenta y cinco minutos por cada persona.;10;;10;;SI;;FÁCIL;;10;"Porque tenemos las oficinas más accesibles a qui en Quito hay diferentes sucursales, entonces encontramos con facilidad lo que es un servipagos y  es más rápido porque no existe ,mucha acumulación de  personas ahí, entonces se lo hace rápido.
Pero igual necesitan  más cajeros que nos ayuden también.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;34143;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4601;GUAMANI;3253;CAJA UNIVERSAL;20-Oct-2022;10;Porque fue rápido y no tuve ninguna complicación en hacer mis transacciones.;10;;10;;SI;;FÁCIL;;10;Me atendieron bien, no tuve ningún inconveniente y estoy muy contenta con el servicio que me brindaron.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;16872;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4600;FUNDACION VISTA PARA TODOS;3253;CAJA UNIVERSAL;12-Oct-2022;10;Porque es rápido y la chica es amable. ;10;;9;;SI;;FÁCIL;;9;Porque es cerca y porque trabajan a veces los feriados también y por la rapidez y por la amabilidada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;24976;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4635;SUPER AKI SAUCES;3253;CAJA UNIVERSAL;17-Oct-2022;10;Porque cada vez que voy me atienden bien las señoritas pero cuando están dos , pero cuando esta una ahí esta lleno ese es el problema. ;10;;10;;SI;;FÁCIL;;10;Porque yo no tengo quejas de servipagos, como vivo aquí atrás  de servipagos aquí en Sauces, entonces voy allá y alas personas les digo vayan hacer las transacciones  a sevipagos, porque ahí me atienden bien no tengo problemas con servipagos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;20198;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;5262;PORTAL SHOPPING;3253;CAJA UNIVERSAL;14-Oct-2022;10;"Porque si me atendieron bien.
";10;;10;;SI;;FÁCIL;;10;"Porque se puede cancelar varias cosas en un mismo lugar, lo que más le a gustado del personal es que son rápidos.
Cliente no brinda más información de la encuesta.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;29804;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4577;MULTIPLAZA AKI;3253;CAJA UNIVERSAL;19-Oct-2022;10;Porque cuando fui me atendieron  y porque puede hacer varios pagos de la tarjeta que tengo por lo que tienen varios bancos.;10;;10;;SI;;FÁCIL;;10;Por lo que le dije, porque se puede hacer ahí pagos de diferentes instituciones y como tienen varios puntos puedo pagar ahí mismo y no tengo que estar saliendo con el dinero para que me roben en la calle y lo que más le a gustado es que si hacer rápido las cosas y porque siempre preguntan si tiene algo más que realizar.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;16672;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4594;CHILLOGALLO;3253;CAJA UNIVERSAL;12-Oct-2022;10;todos cordiales, pase enseguida y no me demore, fue enseguida la atención. ;10;;10;;SI;;MUY FÁCIL;;10;"Fue muy rápida la atención, no me demore.
Porque donde se ir hay parqueadero y por la atención en la amabilidad desde que se entra el guardia y la persona que le atiende. 
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;37852;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;5262;PORTAL SHOPPING;3253;CAJA UNIVERSAL;21-Oct-2022;10;"Porque me atendieron rápido y si me prestan atención.
Cuando voy aunque no haya gente me atienden.";8;;10;;SI;;FÁCIL;;10;"Porque se encuentran en cualquier lado, le atienden rápido.
La amabilidad, son atentas.
Una agencia en Pomasqui.
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;17127;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4590;CARAPUNGO;3253;CAJA UNIVERSAL;12-Oct-2022;10;Si me ha brindado un buen servicio, la última vez que fui a retirar dinero, si me dieron una buena atención los cajeros, no me quejo.;10;;10;;SI;;MUY FÁCIL;;10;Yo lo recomiendo porque he tenido buena experiencia en Servipagos y si me han dado un buen servicio, Servipagos hay en cualquier lado y es más fácil hacer las transacciones.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;18852;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4604;LABRADOR;3253;CAJA UNIVERSAL;13-Oct-2022;10;Porque siempre me han atendido bien a sido oportuno, no hay mucha cola los chicos son amables.;10;;10;;SI;;FÁCIL;;10;Porque la atención es buena o sea  sergvipagos del Labrador, porque he ido a otros servipagos y no estoy de acuerdo y por la agilidad y porque no hay mucha gente, que no vayan a quitar esa agencia de ahí y por el buen servicio.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;10;25620;LEALTAD SVP (TELEFONICA);OCTUBRE 2022;Ecuador;4616;TUMBACO;3253;CAJA UNIVERSAL;17-Oct-2022;10;"Servipagos siempre me atiende bien no tengo ningún problema con servipagos siempre me atienden bien como soy de la tercera edad me dan ventanilla especial no tengo ningún problema .
Porque yo soy bien atendida, porque todos son unas lindas personas.";10;;10;;SI;;FÁCIL;;10;Porque todos me atienden muy bien mi cuenta se maneja bien no tengo ningún problema, nada en absoluto cuando necesito la libreta todo esta bien todo el sistema de servipagos es bien atendido tienen especialidad en todo en la atención en la rapidez  de trabajo en todo el guardia también es muy atento muy educado o sea no hay problema de ninguna queja para nada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
