ZONA;RED;CIUDAD;AGENCIA;TIPO;MES;CUATRIMESTRE;ACTITUD;DESTREZAS DE SERVICIOS;IMAGEN Y ORDEN;CLIENTE FANTASMA;LEALTAD_ESFUERZO;LEALTAD_RECOMENDACIÓN;LEALTAD_RECOMPRA;LEALTAD_SATISFACCIÓN;ENCUESTA DE LEALTAD;INDICE CALIDAD DE SERVICIO;column.Auxiliar
ZONA 1;RED AGENCIAS;QUITO;AXXIS;EXPRESS;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;94,12%;94,12%;88,24%;92,2%;96,1%;1
ZONA 1;RED AGENCIAS;QUITO;SANGOLQUI;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;75,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;QUITO;SOLANDA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;85,00%;100,00%;75,00%;86,7%;93,3%;1
ZONA 1;RED AGENCIAS;QUITO;TUMBACO;AGENCIA;dic-22;C3;85,7%;100,0%;100,0%;91,4%;5,00%;80,00%;100,00%;65,00%;81,7%;86,5%;1
ZONA 1;RED AGENCIAS;RIOBAMBA;RIOBAMBA;AGENCIA;dic-22;C3;71,4%;100,0%;100,0%;82,9%;0,00%;95,00%;100,00%;90,00%;95,0%;88,9%;1
ZONA 1;RED AGENCIAS;SANTO DOMINGO;SANTO DOMINGO;AGENCIA;dic-22;C3;85,7%;100,0%;100,0%;91,4%;10,00%;100,00%;100,00%;90,00%;96,7%;94,0%;1
ZONA 1;RED AGENCIAS;SANTO DOMINGO;SERVIP EXPRESS AKI SANTO DOMINGO;EXPRESS;dic-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;95,00%;100,00%;85,00%;93,3%;91,7%;1
ZONA 2;RED AGENCIAS;CUENCA;CUENCA;AGENCIA;dic-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;100,00%;100,00%;90,00%;96,7%;93,3%;1
ZONA 2;RED AGENCIAS;CUENCA;TOTORACOCHA EXPRESS;EXPRESS;dic-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;75,00%;95,00%;55,00%;75,0%;87,5%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;25 DE JULIO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;95,00%;100,00%;85,00%;93,3%;96,7%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;EL FORTIN;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;100,00%;100,00%;85,00%;95,0%;97,5%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;GRAN AKI DURÁN;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;LA LIBERTAD;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;95,00%;96,7%;98,3%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;LOS RIOS;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;POLICENTRO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;100,00%;90,00%;91,7%;95,8%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SAN EDUARDO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;85,00%;93,3%;96,7%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SAN FRANCISCO;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;95,00%;95,00%;80,00%;90,0%;95,0%;1
ZONA 2;RED AGENCIAS;GUAYAQUIL;SUPER AKI SAUCES;EXPRESS;dic-22;C3;100,0%;100,0%;100,0%;100,0%;15,00%;100,00%;100,00%;90,00%;96,7%;98,3%;1
ZONA 2;RED AGENCIAS;LOJA;LOJA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,26%;100,00%;94,74%;94,74%;96,5%;98,2%;1
ZONA 2;RED AGENCIAS;MACHALA;MACHALA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
ZONA 2;RED AGENCIAS;MANTA;SERVIP EXPRESS JAPON MANTA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;11,76%;94,12%;100,00%;88,24%;94,1%;97,1%;1
ZONA 1;RED AGENCIAS;QUITO;PORTAL SHOPPING;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;15,00%;95,00%;100,00%;75,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;MULTIPLAZA LOS CHILLOS;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;85,00%;93,3%;96,7%;1
ZONA 1;RED AGENCIAS;QUITO;QUITUMBE;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;90,00%;96,7%;98,3%;1
ZONA 1;RED AGENCIAS;QUITO;PUERTAS DEL SOL;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;85,00%;95,00%;65,00%;81,7%;90,8%;1
ZONA 1;RED AGENCIAS;QUITO;SERVP EXPRESS UNIVERSIDAD CENTRAL;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
