periodo,agencia,periodo,respuesta_ins,respuesta_ins_1,respuesta_nps,respuesta_nps_1,respuesta_ces,respuesta_ces_1,respuesta_amabilidad,respuesta_amabilidad_1,respuesta_agilidad,respuesta_agilidad_1
ENERO-2023,CAYAMBE,ENERO-2023,10,La agilidad de los cajeros.,8,Servipagos ofrece varios servicios.,Muy Fácil,,10,sin datos,10,sin datos
ENERO-2023,AXXIS,ENERO-2023,10,"Rapidez que atienden, seguridad que ofrece servipagos en las agencias.",10,Puede realizar diferentes transacciones.,Fácil,,10,sin datos,10,sin datos
ENERO-2023,AXXIS,ENERO-2023,10,Rapidez de los chicos,10,Agilidad de los señores por que el trabajo no da mucho tiempo,Fácil,,10,sin datos,10,sin datos
ENERO-2023,AXXIS,ENERO-2023,10,La atención rapidez del servicio.,10,"El ersonal es atento,educado brinda sustento y apoyo para a brindrar información y dudas.",Fácil,,10,sin datos,10,sin datos
ENERO-2023,AXXIS,ENERO-2023,10,"La rapidez, no se complican.",10,"La rapidez, por que puede pagar todo de una vez.",Fácil,,10,sin datos,10,sin datos
ENERO-2023,AXXIS,ENERO-2023,10,La rapidez con la que atienden,10,Los horarios de atención del fin de semana.,Fácil,,10,sin datos,10,sin datos
